class,name,num_instances
0,Grilled beef tongue,293
1,Flavored snail meat,416
2,Napoleon cake,462
3,Spicy chicken,388
4,Noodles with pork chop,499
5,Stir-fried pork with capers,238
6,Bang bang chicken,861
7,Hibiscus crab stick,341
8,Tomato and egg flour pimple soup,843
9,Grilled ribs,343
10,Stir-fried lettuce,240
11,Stir-fried clams with chili sauce,329
12,Brownie,500
13,Duck feet,1818
14,Hand cake,1082
15,Durian pancake,434
16,Griddle rabbit,397
17,Dried chiba bean curd,422
18,Plate reinforcement,309
19,Tobiko warship sushi,577
20,Meringue puffs,462
21,Fried pork with sauerkraut,475
22,Potato salad,490
23,Onion mixed fungus,742
24,Crepe,362
25,Crispy chicken bibimbap,673
26,Golden cake,496
27,Bean sprouts in soup,478
28,Steamed fish head with double pepper,381
29,Mung bean soup,1947
30,Good harvest of coarse grains,211
31,Crab fried rice cake,466
32,Chicken casserole,381
33,Pan-fried three stuffed treasures,230
34,Firewood chicken,480
35,Golden cod,336
36,Waxiang chicken,375
37,Corn with pine nuts,1033
38,Secret jujube,765
39,Pork with preserved vegetable,982
40,Fried hairtail,601
41,Yogurt purple rice,401
42,Home-style bean curd,463
43,Double chicken drumsticks,1010
44,Fried crab with curry,513
45,Fried cantonese sausage,242
46,Roasted eggplant with garlic,628
47,Shrimp skewers,999
48,Wonton noodles,812
49,Fried kidney flower with pig liver,424
50,Vinegar cabbage,420
51,Crab roe salad,475
52,Fried eggplant,427
53,Four red porridge,351
54,Boiled fish,1304
55,Grilled chicken feet,439
56,Roast eggplants,433
57,Kidney beans,316
58,Straw hat cake,285
59,Meicai bamboo shoots,355
60,Cold pork cold head,485
61,Braised duck gizzards,728
62,Wasabi octopus,496
63,Cheese baked sweet potatoes,399
64,Fried twist,447
65,Dumplings,490
66,Tomato pasta,363
67,Dried carob,473
68,Toffee cake,406
69,Crab yellow tofu,498
70,Barbecue ribs,1259
71,Strawberry sundae,787
72,Pineapple rice,268
73,Tin foil potatoes,233
74,Stir-fried pork with rice white,445
75,Black pepper pork chop rice,251
76,Ribs rice,463
77,Braised noodles with ribs,445
78,Spicy shrimp,464
79,Choy sum with garlic sauce,332
80,Steamed chicken in lotus leaves,424
81,Spicy cabbage fried rice,493
82,Pineapple fritters shrimp,406
